;age;geo;sex;quant_inc;Every day;Every month;Every week;Less than once a month;Never or not in the last 12 months;clusters
41;75 years or over;Bulgaria;Females;First quintile;1.7;9.4;5.9;13.5;69.5;1
42;75 years or over;Bulgaria;Females;Fourth quintile;2.5;13.6;2.3;9.6;72.0;1
43;75 years or over;Bulgaria;Females;Second quintile;1.1;12.5;5.8;11.3;69.3;1
44;75 years or over;Bulgaria;Females;Third quintile;4.1;16.7;2.3;16.0;60.9;1
51;75 years or over;Bulgaria;Males;First quintile;13.3;11.0;12.4;10.9;52.4;1
60;75 years or over;Croatia;Females;Fifth quintile;3.1;3.1;19.4;5.2;69.3;1
61;75 years or over;Croatia;Females;First quintile;3.2;6.5;5.1;13.1;72.1;1
62;75 years or over;Croatia;Females;Fourth quintile;8.8;20.1;7.1;6.8;57.2;1
63;75 years or over;Croatia;Females;Second quintile;16.8;10.6;6.0;1.2;65.4;1
64;75 years or over;Croatia;Females;Third quintile;4.3;4.7;16.0;9.8;65.2;1
71;75 years or over;Croatia;Males;First quintile;22.2;7.3;11.7;2.5;56.3;1
81;75 years or over;Cyprus;Females;First quintile;0.0;3.3;0.0;3.8;92.9;1
82;75 years or over;Cyprus;Females;Fourth quintile;3.7;6.0;14.5;4.3;71.5;1
83;75 years or over;Cyprus;Females;Second quintile;1.5;5.8;3.0;4.8;84.9;1
84;75 years or over;Cyprus;Females;Third quintile;0.0;6.2;1.9;8.3;83.7;1
141;75 years or over;Estonia;Females;First quintile;0.0;7.6;0.0;25.0;67.5;1
143;75 years or over;Estonia;Females;Second quintile;0.0;8.9;0.0;35.2;56.0;1
161;75 years or over;Finland;Females;First quintile;0.0;16.5;8.8;16.5;58.3;1
200;75 years or over;Greece;Females;Fifth quintile;8.5;14.8;6.0;10.2;60.5;1
201;75 years or over;Greece;Females;First quintile;1.3;9.7;4.5;8.2;76.4;1
202;75 years or over;Greece;Females;Fourth quintile;1.5;15.5;5.6;10.6;66.7;1
203;75 years or over;Greece;Females;Second quintile;5.7;7.4;5.2;14.0;67.7;1
204;75 years or over;Greece;Females;Third quintile;1.6;7.5;6.3;9.0;75.6;1
221;75 years or over;Hungary;Females;First quintile;5.0;6.4;6.6;20.4;61.6;1
223;75 years or over;Hungary;Females;Second quintile;10.1;7.3;4.0;18.5;60.1;1
224;75 years or over;Hungary;Females;Third quintile;13.6;5.0;7.9;19.2;54.2;1
241;75 years or over;Iceland;Females;First quintile;0.0;19.6;2.6;16.7;61.1;1
263;75 years or over;Ireland;Females;Second quintile;1.0;13.6;15.6;9.2;60.6;1
264;75 years or over;Ireland;Females;Third quintile;2.6;11.1;16.9;11.4;58.0;1
281;75 years or over;Latvia;Females;First quintile;0.5;7.3;1.7;18.0;72.4;1
282;75 years or over;Latvia;Females;Fourth quintile;0.0;5.9;0.0;36.0;58.1;1
283;75 years or over;Latvia;Females;Second quintile;0.0;5.4;0.0;31.0;63.5;1
284;75 years or over;Latvia;Females;Third quintile;0.0;5.7;3.2;30.2;60.9;1
301;75 years or over;Lithuania;Females;First quintile;0.0;5.6;0.0;29.2;65.2;1
303;75 years or over;Lithuania;Females;Second quintile;0.0;3.6;0.0;18.8;77.6;1
304;75 years or over;Lithuania;Females;Third quintile;0.0;3.1;0.8;32.4;63.6;1
341;75 years or over;Malta;Females;First quintile;2.6;11.0;3.6;18.7;64.0;1
343;75 years or over;Malta;Females;Second quintile;5.5;11.6;12.6;11.2;59.1;1
371;75 years or over;Norway;Females;First quintile;1.7;31.3;10.2;0.0;56.8;1
390;75 years or over;Poland;Females;Fifth quintile;1.6;13.0;3.0;22.1;60.2;1
391;75 years or over;Poland;Females;First quintile;0.2;6.2;1.3;7.1;85.3;1
392;75 years or over;Poland;Females;Fourth quintile;0.0;9.1;5.1;23.4;62.4;1
393;75 years or over;Poland;Females;Second quintile;0.2;3.0;0.2;15.9;80.7;1
394;75 years or over;Poland;Females;Third quintile;0.0;6.2;2.6;20.1;71.1;1
411;75 years or over;Portugal;Females;First quintile;16.1;3.1;5.5;7.7;67.6;1
412;75 years or over;Portugal;Females;Fourth quintile;21.9;5.7;10.8;10.5;51.1;1
