;age;geo;sex;quant_inc;Every day;Every month;Every week;Less than once a month;Never or not in the last 12 months;clusters
10;75 years or over;Austria;Males;Fifth quintile;23.9;22.4;15.1;21.8;16.8;0
12;75 years or over;Austria;Males;Fourth quintile;32.0;25.1;28.1;2.4;12.3;0
20;75 years or over;Belgium;Females;Fifth quintile;30.4;2.1;22.0;16.2;29.3;0
22;75 years or over;Belgium;Females;Fourth quintile;20.3;11.9;27.9;12.9;27.0;0
24;75 years or over;Belgium;Females;Third quintile;17.5;14.1;25.3;19.9;23.2;0
30;75 years or over;Belgium;Males;Fifth quintile;38.4;10.4;37.0;10.9;3.4;0
33;75 years or over;Belgium;Males;Second quintile;19.6;9.6;26.2;11.0;33.5;0
34;75 years or over;Belgium;Males;Third quintile;27.9;17.3;31.2;9.6;14.0;0
40;75 years or over;Bulgaria;Females;Fifth quintile;0.0;0.0;0.0;0.0;0.0;0
50;75 years or over;Bulgaria;Males;Fifth quintile;0.0;0.0;0.0;0.0;0.0;0
70;75 years or over;Croatia;Males;Fifth quintile;50.2;5.4;7.3;0.0;37.1;0
73;75 years or over;Croatia;Males;Second quintile;29.4;3.8;21.3;10.2;35.4;0
74;75 years or over;Croatia;Males;Third quintile;33.1;12.6;9.4;9.6;35.3;0
80;75 years or over;Cyprus;Females;Fifth quintile;0.0;0.0;0.0;0.0;0.0;0
100;75 years or over;Czechia;Females;Fifth quintile;0.0;0.0;0.0;0.0;0.0;0
110;75 years or over;Czechia;Males;Fifth quintile;0.0;0.0;0.0;0.0;0.0;0
112;75 years or over;Czechia;Males;Fourth quintile;23.7;12.5;31.2;22.3;10.4;0
114;75 years or over;Czechia;Males;Third quintile;27.4;12.3;30.9;12.8;16.7;0
120;75 years or over;Denmark;Females;Fifth quintile;0.0;0.0;0.0;0.0;0.0;0
122;75 years or over;Denmark;Females;Fourth quintile;0.0;0.0;0.0;0.0;0.0;0
124;75 years or over;Denmark;Females;Third quintile;0.0;0.0;0.0;0.0;0.0;0
130;75 years or over;Denmark;Males;Fifth quintile;0.0;0.0;0.0;0.0;0.0;0
132;75 years or over;Denmark;Males;Fourth quintile;0.0;0.0;0.0;0.0;0.0;0
134;75 years or over;Denmark;Males;Third quintile;49.3;9.5;31.7;9.5;0.0;0
140;75 years or over;Estonia;Females;Fifth quintile;0.0;0.0;0.0;0.0;0.0;0
142;75 years or over;Estonia;Females;Fourth quintile;0.0;0.0;0.0;0.0;0.0;0
150;75 years or over;Estonia;Males;Fifth quintile;0.0;0.0;0.0;0.0;0.0;0
152;75 years or over;Estonia;Males;Fourth quintile;0.0;0.0;0.0;0.0;0.0;0
154;75 years or over;Estonia;Males;Third quintile;0.0;0.0;0.0;0.0;0.0;0
210;75 years or over;Greece;Males;Fifth quintile;20.2;13.5;25.8;8.0;32.4;0
211;75 years or over;Greece;Males;First quintile;32.2;13.8;12.6;5.9;35.5;0
212;75 years or over;Greece;Males;Fourth quintile;20.5;15.9;24.8;9.2;29.6;0
220;75 years or over;Hungary;Females;Fifth quintile;0.0;0.0;0.0;0.0;0.0;0
230;75 years or over;Hungary;Males;Fifth quintile;0.0;0.0;0.0;0.0;0.0;0
231;75 years or over;Hungary;Males;First quintile;31.8;22.1;9.4;4.5;32.1;0
232;75 years or over;Hungary;Males;Fourth quintile;47.4;9.5;18.3;9.8;14.9;0
233;75 years or over;Hungary;Males;Second quintile;23.4;7.7;19.4;18.1;31.4;0
234;75 years or over;Hungary;Males;Third quintile;32.0;4.9;8.6;14.7;39.8;0
240;75 years or over;Iceland;Females;Fifth quintile;0.0;0.0;0.0;0.0;0.0;0
242;75 years or over;Iceland;Females;Fourth quintile;0.0;0.0;0.0;0.0;0.0;0
244;75 years or over;Iceland;Females;Third quintile;0.0;0.0;0.0;0.0;0.0;0
250;75 years or over;Iceland;Males;Fifth quintile;0.0;0.0;0.0;0.0;0.0;0
252;75 years or over;Iceland;Males;Fourth quintile;0.0;0.0;0.0;0.0;0.0;0
280;75 years or over;Latvia;Females;Fifth quintile;0.0;0.0;0.0;0.0;0.0;0
290;75 years or over;Latvia;Males;Fifth quintile;0.0;0.0;0.0;0.0;0.0;0
300;75 years or over;Lithuania;Females;Fifth quintile;0.0;0.0;0.0;0.0;0.0;0
310;75 years or over;Lithuania;Males;Fifth quintile;0.0;0.0;0.0;0.0;0.0;0
320;75 years or over;Luxembourg;Females;Fifth quintile;0.0;0.0;0.0;0.0;0.0;0
321;75 years or over;Luxembourg;Females;First quintile;0.0;0.0;0.0;0.0;0.0;0
322;75 years or over;Luxembourg;Females;Fourth quintile;0.0;0.0;0.0;0.0;0.0;0
324;75 years or over;Luxembourg;Females;Third quintile;0.0;0.0;0.0;0.0;0.0;0
331;75 years or over;Luxembourg;Males;First quintile;0.0;0.0;0.0;0.0;0.0;0
332;75 years or over;Luxembourg;Males;Fourth quintile;49.2;0.0;31.9;6.0;12.9;0
333;75 years or over;Luxembourg;Males;Second quintile;0.0;0.0;0.0;0.0;0.0;0
340;75 years or over;Malta;Females;Fifth quintile;0.0;0.0;0.0;0.0;0.0;0
342;75 years or over;Malta;Females;Fourth quintile;0.0;0.0;0.0;0.0;0.0;0
344;75 years or over;Malta;Females;Third quintile;0.0;0.0;0.0;0.0;0.0;0
350;75 years or over;Malta;Males;Fifth quintile;0.0;0.0;0.0;0.0;0.0;0
352;75 years or over;Malta;Males;Fourth quintile;0.0;0.0;0.0;0.0;0.0;0
354;75 years or over;Malta;Males;Third quintile;0.0;0.0;0.0;0.0;0.0;0
370;75 years or over;Norway;Females;Fifth quintile;0.0;0.0;0.0;0.0;0.0;0
380;75 years or over;Norway;Males;Fifth quintile;0.0;0.0;0.0;0.0;0.0;0
410;75 years or over;Portugal;Females;Fifth quintile;30.1;9.6;9.2;15.4;35.7;0
420;75 years or over;Portugal;Males;Fifth quintile;53.5;8.4;15.0;7.0;16.1;0
421;75 years or over;Portugal;Males;First quintile;48.4;2.8;5.4;4.5;39.0;0
422;75 years or over;Portugal;Males;Fourth quintile;68.1;2.6;6.5;4.9;17.9;0
423;75 years or over;Portugal;Males;Second quintile;56.1;3.6;7.4;4.4;28.5;0
424;75 years or over;Portugal;Males;Third quintile;57.2;3.1;18.4;5.8;15.5;0
460;75 years or over;Slovakia;Females;Fifth quintile;0.0;0.0;0.0;0.0;0.0;0
470;75 years or over;Slovakia;Males;Fifth quintile;0.0;0.0;0.0;0.0;0.0;0
471;75 years or over;Slovakia;Males;First quintile;0.0;0.0;0.0;0.0;0.0;0
