;age;geo;sex;deg_urb;Every day;Every month;Every week;Less than once a month;Never or not in the last 12 months;clusters
1;75 years or over;Austria;Females;Rural areas;4.1;29.5;18.1;9.9;38.4;0
2;75 years or over;Austria;Females;Towns and suburbs;5.0;26.6;12.3;21.5;34.5;0
55;75 years or over;Cyprus;Males;Rural areas;16.3;23.0;13.3;15.4;32.1;0
90;75 years or over;Estonia;Males;Cities;6.3;19.2;8.4;46.5;19.6;0
91;75 years or over;Estonia;Males;Rural areas;1.3;20.0;12.7;31.4;34.6;0
92;75 years or over;Estonia;Males;Towns and suburbs;0.0;30.6;14.8;24.3;30.3;0
96;75 years or over;Finland;Females;Cities;4.2;22.3;16.5;23.3;33.8;0
100;75 years or over;Finland;Males;Rural areas;5.9;24.4;24.1;13.4;32.2;0
108;75 years or over;Germany;Females;Cities;9.9;22.1;28.3;13.3;26.5;0
109;75 years or over;Germany;Females;Rural areas;6.9;29.9;18.1;13.6;31.6;0
110;75 years or over;Germany;Females;Towns and suburbs;10.6;25.6;20.3;13.1;30.4;0
150;75 years or over;Iceland;Males;Cities;2.3;21.5;15.1;24.3;36.8;0
151;75 years or over;Iceland;Males;Rural areas;2.2;22.0;23.8;18.9;33.1;0
174;75 years or over;Latvia;Males;Cities;1.8;23.0;10.3;36.2;28.6;0
193;75 years or over;Luxembourg;Females;Rural areas;6.5;20.1;25.1;14.1;34.2;0
210;75 years or over;Malta;Males;Cities;18.3;29.4;7.8;21.3;23.1;0
224;75 years or over;Norway;Females;Towns and suburbs;2.0;36.7;23.4;0.0;38.0;0
228;75 years or over;Norway;Males;Cities;6.5;32.3;23.8;0.0;37.4;0
229;75 years or over;Norway;Males;Rural areas;3.4;29.2;26.6;0.0;40.8;0
240;75 years or over;Poland;Males;Cities;1.7;19.6;15.4;27.7;35.7;0
282;75 years or over;Slovakia;Males;Cities;11.5;23.5;15.5;17.8;31.6;0
284;75 years or over;Slovakia;Males;Towns and suburbs;5.7;23.6;12.2;23.6;35.0;0
288;75 years or over;Slovenia;Females;Cities;6.3;25.8;11.3;29.1;27.5;0
313;75 years or over;Sweden;Females;Rural areas;2.7;24.5;24.1;15.2;33.4;0
314;75 years or over;Sweden;Females;Towns and suburbs;5.3;19.7;25.7;13.4;36.0;0
318;75 years or over;Sweden;Males;Cities;5.9;20.8;29.2;9.3;34.8;0
342;From 15 to 24 years;Austria;Females;Cities;0.0;33.1;21.4;19.1;26.4;0
343;From 15 to 24 years;Austria;Females;Rural areas;0.0;55.4;21.7;14.8;8.1;0
344;From 15 to 24 years;Austria;Females;Towns and suburbs;0.0;44.1;19.8;16.9;19.2;0
348;From 15 to 24 years;Austria;Males;Cities;0.5;43.5;30.3;7.0;18.8;0
355;From 15 to 24 years;Belgium;Females;Rural areas;0.0;44.4;30.9;9.1;15.6;0
378;From 15 to 24 years;Croatia;Females;Cities;0.0;31.5;5.3;29.9;33.3;0
384;From 15 to 24 years;Croatia;Males;Cities;0.0;47.6;4.8;16.1;31.4;0
385;From 15 to 24 years;Croatia;Males;Rural areas;2.0;34.0;10.6;12.7;40.7;0
386;From 15 to 24 years;Croatia;Males;Towns and suburbs;4.6;28.5;16.6;13.8;36.5;0
397;From 15 to 24 years;Cyprus;Males;Rural areas;2.1;30.1;16.7;15.3;35.8;0
402;From 15 to 24 years;Czechia;Females;Cities;0.0;36.5;22.9;26.4;14.2;0
403;From 15 to 24 years;Czechia;Females;Rural areas;0.0;44.4;21.5;12.9;21.2;0
404;From 15 to 24 years;Czechia;Females;Towns and suburbs;0.0;40.8;20.5;18.5;20.1;0
414;From 15 to 24 years;Denmark;Females;Cities;0.0;46.9;28.3;17.2;7.6;0
415;From 15 to 24 years;Denmark;Females;Rural areas;0.0;50.0;12.5;26.5;11.0;0
416;From 15 to 24 years;Denmark;Females;Towns and suburbs;0.0;40.6;31.3;25.0;3.1;0
421;From 15 to 24 years;Denmark;Males;Rural areas;1.0;39.4;24.0;19.2;16.3;0
422;From 15 to 24 years;Denmark;Males;Towns and suburbs;2.0;38.8;26.5;8.2;24.5;0
426;From 15 to 24 years;Estonia;Females;Cities;0.0;21.5;16.6;38.2;23.7;0
427;From 15 to 24 years;Estonia;Females;Rural areas;0.0;30.8;6.0;35.5;27.7;0
428;From 15 to 24 years;Estonia;Females;Towns and suburbs;0.0;25.8;5.4;37.6;31.2;0
432;From 15 to 24 years;Estonia;Males;Cities;0.0;24.0;27.2;27.1;21.8;0
433;From 15 to 24 years;Estonia;Males;Rural areas;0.6;31.4;22.9;18.1;26.9;0
434;From 15 to 24 years;Estonia;Males;Towns and suburbs;0.0;19.0;17.6;40.8;22.6;0
438;From 15 to 24 years;Finland;Females;Cities;0.0;38.7;24.9;16.9;19.5;0
439;From 15 to 24 years;Finland;Females;Rural areas;0.0;34.7;15.6;26.5;23.3;0
440;From 15 to 24 years;Finland;Females;Towns and suburbs;0.0;44.8;12.8;18.3;24.1;0
441;From 15 to 24 years;Finland;Males;Cities;0.0;42.0;29.6;7.7;20.7;0
442;From 15 to 24 years;Finland;Males;Rural areas;0.0;41.0;17.9;17.5;23.7;0
443;From 15 to 24 years;Finland;Males;Towns and suburbs;0.0;36.4;31.1;14.2;18.3;0
450;From 15 to 24 years;Germany;Females;Cities;0.3;33.2;30.7;18.9;16.9;0
451;From 15 to 24 years;Germany;Females;Rural areas;0.7;45.3;23.0;18.9;12.0;0
452;From 15 to 24 years;Germany;Females;Towns and suburbs;0.3;37.8;24.2;18.5;19.2;0
464;From 15 to 24 years;Greece;Females;Towns and suburbs;0.0;29.7;21.1;14.1;35.1;0
470;From 15 to 24 years;Greece;Males;Towns and suburbs;2.6;27.0;26.8;21.8;21.8;0
474;From 15 to 24 years;Hungary;Females;Cities;0.0;37.5;12.3;21.4;28.7;0
480;From 15 to 24 years;Hungary;Males;Cities;0.0;33.6;29.4;17.0;20.0;0
481;From 15 to 24 years;Hungary;Males;Rural areas;0.7;38.7;15.6;22.3;22.6;0
482;From 15 to 24 years;Hungary;Males;Towns and suburbs;0.5;27.9;22.6;28.3;20.7;0
486;From 15 to 24 years;Iceland;Females;Cities;0.5;39.8;8.2;22.3;29.3;0
487;From 15 to 24 years;Iceland;Females;Rural areas;0.0;25.8;11.6;24.9;37.7;0
488;From 15 to 24 years;Iceland;Females;Towns and suburbs;0.0;42.7;2.8;22.6;31.9;0
492;From 15 to 24 years;Iceland;Males;Cities;0.0;35.2;9.8;18.8;36.2;0
493;From 15 to 24 years;Iceland;Males;Rural areas;0.0;28.3;16.6;14.9;40.2;0
494;From 15 to 24 years;Iceland;Males;Towns and suburbs;0.0;36.7;8.0;14.4;40.9;0
499;From 15 to 24 years;Ireland;Females;Rural areas;0.0;42.4;22.3;9.3;26.0;0
500;From 15 to 24 years;Ireland;Females;Towns and suburbs;0.0;30.6;25.3;11.4;32.8;0
505;From 15 to 24 years;Ireland;Males;Rural areas;0.0;39.0;25.5;4.0;31.6;0
506;From 15 to 24 years;Ireland;Males;Towns and suburbs;0.0;30.9;28.0;7.9;33.2;0
510;From 15 to 24 years;Latvia;Females;Cities;1.2;36.0;8.1;21.7;33.0;0
511;From 15 to 24 years;Latvia;Females;Rural areas;0.0;35.4;5.7;27.8;31.1;0
512;From 15 to 24 years;Latvia;Females;Towns and suburbs;0.0;25.8;11.1;35.4;27.7;0
516;From 15 to 24 years;Latvia;Males;Cities;0.0;29.2;21.9;23.2;25.7;0
517;From 15 to 24 years;Latvia;Males;Rural areas;0.0;40.4;7.2;28.8;23.6;0
518;From 15 to 24 years;Latvia;Males;Towns and suburbs;0.9;32.2;7.1;37.4;22.4;0
524;From 15 to 24 years;Lithuania;Females;Towns and suburbs;0.0;63.5;3.7;14.0;18.7;0
528;From 15 to 24 years;Lithuania;Males;Cities;0.0;33.6;12.8;20.8;32.8;0
529;From 15 to 24 years;Lithuania;Males;Rural areas;0.0;33.9;12.3;19.1;34.7;0
530;From 15 to 24 years;Lithuania;Males;Towns and suburbs;0.0;40.6;0.0;18.3;41.1;0
534;From 15 to 24 years;Luxembourg;Females;Cities;0.0;25.8;25.8;9.7;38.7;0
535;From 15 to 24 years;Luxembourg;Females;Rural areas;0.0;40.2;15.9;18.7;25.2;0
536;From 15 to 24 years;Luxembourg;Females;Towns and suburbs;0.0;28.2;20.2;24.3;27.4;0
542;From 15 to 24 years;Luxembourg;Males;Towns and suburbs;0.0;44.8;26.9;7.6;20.8;0
546;From 15 to 24 years;Malta;Females;Cities;0.0;37.9;27.1;12.5;22.6;0
547;From 15 to 24 years;Malta;Females;Rural areas;0.0;38.5;26.9;3.8;30.8;0
564;From 15 to 24 years;Norway;Females;Cities;0.6;59.9;14.0;0.0;25.5;0
565;From 15 to 24 years;Norway;Females;Rural areas;0.0;69.8;6.4;0.0;23.8;0
566;From 15 to 24 years;Norway;Females;Towns and suburbs;0.0;63.0;10.7;0.0;26.4;0
570;From 15 to 24 years;Norway;Males;Cities;0.0;45.1;30.2;0.0;24.7;0
571;From 15 to 24 years;Norway;Males;Rural areas;0.0;62.4;10.8;0.0;26.8;0
572;From 15 to 24 years;Norway;Males;Towns and suburbs;0.0;58.9;15.0;0.0;26.1;0
576;From 15 to 24 years;Poland;Females;Cities;0.0;29.6;18.1;20.7;31.6;0
582;From 15 to 24 years;Poland;Males;Cities;2.0;34.1;24.1;13.6;26.2;0
583;From 15 to 24 years;Poland;Males;Rural areas;0.1;31.7;13.3;16.7;38.3;0
584;From 15 to 24 years;Poland;Males;Towns and suburbs;1.2;35.0;14.0;17.5;32.3;0
588;From 15 to 24 years;Portugal;Females;Cities;0.0;29.6;12.1;25.2;33.1;0
594;From 15 to 24 years;Portugal;Males;Cities;0.1;30.0;21.0;18.5;30.3;0
624;From 15 to 24 years;Slovakia;Males;Cities;0.0;34.5;15.6;21.4;28.5;0
625;From 15 to 24 years;Slovakia;Males;Rural areas;0.0;38.7;20.7;14.8;25.7;0
626;From 15 to 24 years;Slovakia;Males;Towns and suburbs;0.0;34.8;19.2;12.3;33.7;0
630;From 15 to 24 years;Slovenia;Females;Cities;0.0;28.7;15.0;23.7;32.6;0
631;From 15 to 24 years;Slovenia;Females;Rural areas;0.8;38.0;15.9;19.1;26.2;0
632;From 15 to 24 years;Slovenia;Females;Towns and suburbs;0.0;40.8;12.2;28.9;18.1;0
636;From 15 to 24 years;Slovenia;Males;Cities;1.7;43.6;18.2;16.4;20.1;0
638;From 15 to 24 years;Slovenia;Males;Towns and suburbs;3.0;39.6;28.4;13.8;15.1;0
642;From 15 to 24 years;Spain;Females;Cities;0.0;30.5;13.7;18.4;37.4;0
644;From 15 to 24 years;Spain;Females;Towns and suburbs;0.1;31.3;15.9;14.8;37.9;0
648;From 15 to 24 years;Spain;Males;Cities;2.6;28.0;29.6;7.9;31.9;0
649;From 15 to 24 years;Spain;Males;Rural areas;0.8;28.8;23.4;15.8;31.2;0
650;From 15 to 24 years;Spain;Males;Towns and suburbs;0.0;23.6;30.8;9.9;35.8;0
654;From 15 to 24 years;Sweden;Females;Cities;0.0;32.3;10.3;21.1;36.2;0
656;From 15 to 24 years;Sweden;Females;Towns and suburbs;0.0;31.3;12.7;22.7;33.3;0
660;From 15 to 24 years;Sweden;Males;Cities;0.0;36.3;12.1;15.4;36.2;0
661;From 15 to 24 years;Sweden;Males;Rural areas;0.4;24.1;21.2;19.1;35.1;0
662;From 15 to 24 years;Sweden;Males;Towns and suburbs;1.2;31.5;17.4;15.0;35.0;0
678;From 15 to 24 years;United Kingdom;Females;Cities;0.0;21.1;25.4;26.9;26.6;0
684;From 25 to 34 years;Austria;Females;Cities;0.5;32.5;20.3;21.3;25.4;0
685;From 25 to 34 years;Austria;Females;Rural areas;0.9;39.2;15.2;23.3;21.4;0
