;age;geo;sex;quant_inc;Every day;Every month;Every week;Less than once a month;Never or not in the last 12 months;clusters
160;75 years or over;Finland;Females;Fifth quintile;8.2;24.6;22.3;28.7;16.2;3
184;75 years or over;Germany;Females;Third quintile;7.7;31.7;24.3;10.2;26.1;3
254;75 years or over;Iceland;Males;Third quintile;3.8;30.5;19.0;25.5;21.2;3
524;75 years or over;Sweden;Females;Third quintile;0.0;36.4;17.7;24.3;21.5;3
570;From 15 to 24 years;Austria;Females;Fifth quintile;0.0;48.4;21.3;16.4;13.9;3
571;From 15 to 24 years;Austria;Females;First quintile;0.0;40.0;22.4;13.9;23.6;3
572;From 15 to 24 years;Austria;Females;Fourth quintile;0.0;49.3;16.4;17.3;17.0;3
573;From 15 to 24 years;Austria;Females;Second quintile;0.0;47.8;17.8;21.3;13.2;3
574;From 15 to 24 years;Austria;Females;Third quintile;0.0;44.2;25.2;18.3;12.4;3
580;From 15 to 24 years;Austria;Males;Fifth quintile;1.9;43.0;34.8;5.0;15.3;3
581;From 15 to 24 years;Austria;Males;First quintile;0.2;42.9;33.3;7.8;15.9;3
583;From 15 to 24 years;Austria;Males;Second quintile;1.0;39.1;27.7;9.4;22.8;3
584;From 15 to 24 years;Austria;Males;Third quintile;3.3;36.1;36.3;7.0;17.3;3
590;From 15 to 24 years;Belgium;Females;Fifth quintile;0.0;42.0;30.9;14.3;12.9;3
594;From 15 to 24 years;Belgium;Females;Third quintile;1.0;30.2;26.8;16.0;26.0;3
642;From 15 to 24 years;Croatia;Males;Fourth quintile;5.6;43.4;12.1;5.0;34.0;3
643;From 15 to 24 years;Croatia;Males;Second quintile;1.7;47.0;1.6;24.9;24.8;3
670;From 15 to 24 years;Czechia;Females;Fifth quintile;0.0;43.2;17.8;30.8;8.2;3
671;From 15 to 24 years;Czechia;Females;First quintile;0.0;40.9;12.9;21.2;25.1;3
672;From 15 to 24 years;Czechia;Females;Fourth quintile;0.0;40.5;28.9;11.0;19.7;3
674;From 15 to 24 years;Czechia;Females;Third quintile;0.0;48.2;32.0;7.1;12.6;3
683;From 15 to 24 years;Czechia;Males;Second quintile;0.0;48.4;23.7;11.4;16.5;3
690;From 15 to 24 years;Denmark;Females;Fifth quintile;0.0;47.1;27.5;13.7;11.8;3
691;From 15 to 24 years;Denmark;Females;First quintile;0.0;50.0;26.3;22.5;1.3;3
692;From 15 to 24 years;Denmark;Females;Fourth quintile;0.0;41.9;18.6;25.6;14.0;3
693;From 15 to 24 years;Denmark;Females;Second quintile;0.0;48.8;19.5;22.0;9.8;3
694;From 15 to 24 years;Denmark;Females;Third quintile;0.0;45.5;18.2;30.3;6.1;3
701;From 15 to 24 years;Denmark;Males;First quintile;4.4;40.0;31.1;8.9;15.6;3
702;From 15 to 24 years;Denmark;Males;Fourth quintile;3.2;35.5;29.0;22.6;9.7;3
703;From 15 to 24 years;Denmark;Males;Second quintile;0.0;47.6;28.6;9.5;14.3;3
704;From 15 to 24 years;Denmark;Males;Third quintile;0.0;36.7;23.3;20.0;20.0;3
720;From 15 to 24 years;Estonia;Males;Fifth quintile;0.0;53.7;18.1;16.3;12.0;3
722;From 15 to 24 years;Estonia;Males;Fourth quintile;0.0;30.1;23.4;19.6;26.8;3
730;From 15 to 24 years;Finland;Females;Fifth quintile;0.0;48.6;22.7;15.1;13.5;3
731;From 15 to 24 years;Finland;Females;First quintile;0.0;34.1;24.2;19.4;22.3;3
732;From 15 to 24 years;Finland;Females;Fourth quintile;0.0;49.9;10.6;13.1;26.5;3
733;From 15 to 24 years;Finland;Females;Second quintile;0.0;38.1;20.7;19.9;21.3;3
734;From 15 to 24 years;Finland;Females;Third quintile;0.0;40.8;10.3;25.3;23.6;3
735;From 15 to 24 years;Finland;Males;Fifth quintile;0.0;43.6;34.0;9.0;13.3;3
736;From 15 to 24 years;Finland;Males;First quintile;0.0;34.1;36.9;7.2;21.8;3
737;From 15 to 24 years;Finland;Males;Fourth quintile;0.0;41.4;18.1;12.7;27.8;3
738;From 15 to 24 years;Finland;Males;Second quintile;0.0;42.3;22.5;17.2;18.0;3
739;From 15 to 24 years;Finland;Males;Third quintile;0.0;41.4;19.3;18.1;21.2;3
750;From 15 to 24 years;Germany;Females;Fifth quintile;0.0;38.4;25.8;18.2;17.6;3
751;From 15 to 24 years;Germany;Females;First quintile;1.0;36.5;25.8;19.1;17.7;3
752;From 15 to 24 years;Germany;Females;Fourth quintile;0.0;33.3;26.8;23.3;16.6;3
753;From 15 to 24 years;Germany;Females;Second quintile;0.0;38.8;27.8;15.9;17.4;3
754;From 15 to 24 years;Germany;Females;Third quintile;0.0;42.7;25.7;18.3;13.2;3
763;From 15 to 24 years;Germany;Males;Second quintile;2.5;34.3;35.7;12.0;15.5;3
770;From 15 to 24 years;Greece;Females;Fifth quintile;0.0;37.7;23.7;7.4;31.1;3
772;From 15 to 24 years;Greece;Females;Fourth quintile;0.0;36.0;21.3;11.8;30.9;3
773;From 15 to 24 years;Greece;Females;Second quintile;0.5;38.6;27.7;9.1;24.0;3
781;From 15 to 24 years;Greece;Males;First quintile;0.0;33.5;28.3;15.1;23.1;3
783;From 15 to 24 years;Greece;Males;Second quintile;3.8;35.5;21.2;20.9;18.6;3
800;From 15 to 24 years;Hungary;Males;Fifth quintile;1.0;36.8;29.7;17.4;15.1;3
801;From 15 to 24 years;Hungary;Males;First quintile;0.0;27.7;19.0;34.4;18.9;3
802;From 15 to 24 years;Hungary;Males;Fourth quintile;0.9;36.1;18.4;21.6;23.0;3
804;From 15 to 24 years;Hungary;Males;Third quintile;0.0;33.8;21.0;20.1;25.1;3
820;From 15 to 24 years;Iceland;Males;Fifth quintile;0.0;44.2;9.3;19.4;27.2;3
822;From 15 to 24 years;Iceland;Males;Fourth quintile;0.0;38.9;13.1;18.5;29.4;3
830;From 15 to 24 years;Ireland;Females;Fifth quintile;0.0;32.3;31.9;8.4;27.4;3
832;From 15 to 24 years;Ireland;Females;Fourth quintile;0.0;38.5;25.2;7.8;28.5;3
833;From 15 to 24 years;Ireland;Females;Second quintile;0.0;51.4;20.2;11.5;16.9;3
834;From 15 to 24 years;Ireland;Females;Third quintile;0.0;39.4;38.7;8.3;13.6;3
841;From 15 to 24 years;Ireland;Males;First quintile;0.0;33.7;37.5;16.9;11.8;3
842;From 15 to 24 years;Ireland;Males;Fourth quintile;0.0;32.3;31.8;9.5;26.4;3
850;From 15 to 24 years;Latvia;Females;Fifth quintile;0.0;42.4;13.1;29.9;14.6;3
852;From 15 to 24 years;Latvia;Females;Fourth quintile;3.0;40.5;7.9;28.5;20.2;3
860;From 15 to 24 years;Latvia;Males;Fifth quintile;0.0;42.9;9.2;35.2;12.7;3
862;From 15 to 24 years;Latvia;Males;Fourth quintile;0.0;32.9;23.3;37.1;6.7;3
893;From 15 to 24 years;Luxembourg;Females;Second quintile;0.0;34.1;23.8;25.1;17.0;3
901;From 15 to 24 years;Luxembourg;Males;First quintile;0.0;37.0;26.3;9.9;26.9;3
912;From 15 to 24 years;Malta;Females;Fourth quintile;0.0;46.5;28.1;9.7;15.6;3
913;From 15 to 24 years;Malta;Females;Second quintile;0.0;33.7;29.4;18.8;18.1;3
914;From 15 to 24 years;Malta;Females;Third quintile;0.0;30.8;35.6;12.1;21.4;3
940;From 15 to 24 years;Norway;Females;Fifth quintile;0.0;59.3;10.3;0.0;30.4;3
941;From 15 to 24 years;Norway;Females;First quintile;0.5;57.1;12.2;0.0;30.2;3
942;From 15 to 24 years;Norway;Females;Fourth quintile;0.0;69.3;9.2;0.0;21.5;3
943;From 15 to 24 years;Norway;Females;Second quintile;0.0;66.5;10.9;0.0;22.6;3
944;From 15 to 24 years;Norway;Females;Third quintile;0.0;78.2;5.5;0.0;16.3;3
950;From 15 to 24 years;Norway;Males;Fifth quintile;0.0;62.6;20.9;0.0;16.5;3
951;From 15 to 24 years;Norway;Males;First quintile;0.0;56.3;18.6;0.0;25.1;3
952;From 15 to 24 years;Norway;Males;Fourth quintile;0.0;53.4;25.3;0.0;21.3;3
953;From 15 to 24 years;Norway;Males;Second quintile;0.0;53.9;12.8;0.0;33.3;3
954;From 15 to 24 years;Norway;Males;Third quintile;0.0;57.8;12.7;0.0;29.5;3
972;From 15 to 24 years;Poland;Males;Fourth quintile;0.4;43.8;16.8;18.1;20.9;3
980;From 15 to 24 years;Portugal;Females;Fifth quintile;0.0;28.6;25.2;25.6;20.5;3
993;From 15 to 24 years;Portugal;Males;Second quintile;3.4;26.7;25.1;21.3;23.5;3
1030;From 15 to 24 years;Slovakia;Females;Fifth quintile;1.7;53.4;1.7;21.8;21.4;3
1040;From 15 to 24 years;Slovakia;Males;Fifth quintile;0.0;34.5;34.8;15.8;15.0;3
1042;From 15 to 24 years;Slovakia;Males;Fourth quintile;0.0;38.8;18.0;14.5;28.8;3
1043;From 15 to 24 years;Slovakia;Males;Second quintile;0.0;44.9;9.8;16.7;28.6;3
1050;From 15 to 24 years;Slovenia;Females;Fifth quintile;0.0;42.3;13.1;24.4;20.2;3
1052;From 15 to 24 years;Slovenia;Females;Fourth quintile;0.0;42.5;13.3;17.7;26.5;3
1054;From 15 to 24 years;Slovenia;Females;Third quintile;0.0;28.1;20.3;33.4;18.3;3
1061;From 15 to 24 years;Slovenia;Males;First quintile;2.0;26.4;26.3;25.3;20.0;3
1062;From 15 to 24 years;Slovenia;Males;Fourth quintile;2.6;45.8;27.5;6.8;17.1;3
