;age;geo;sex;isced11;Every day;Every month;Every week;Less than once a month;Never or not in the last 12 months;clusters
6;75 years or over;Austria;Males;Less than primary, primary and lower secondary education (levels 0-2);29.7;17.4;37.5;2.9;12.4;1
7;75 years or over;Austria;Males;Tertiary education (levels 5-8);26.2;26.2;29.1;12.7;5.8;1
8;75 years or over;Austria;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);19.2;25.9;29.9;7.8;17.2;1
14;75 years or over;Belgium;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);20.4;11.5;26.2;14.5;27.5;1
18;75 years or over;Belgium;Males;Less than primary, primary and lower secondary education (levels 0-2);22.3;11.6;32.3;3.4;30.4;1
19;75 years or over;Belgium;Males;Tertiary education (levels 5-8);30.8;3.5;51.6;8.2;5.9;1
20;75 years or over;Belgium;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);34.0;20.5;21.6;6.9;17.0;1
67;75 years or over;Czechia;Males;Tertiary education (levels 5-8);23.5;17.0;35.9;12.6;11.1;1
68;75 years or over;Czechia;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);25.5;11.8;31.1;13.9;17.7;1
72;75 years or over;Denmark;Females;Less than primary, primary and lower secondary education (levels 0-2);15.6;25.3;27.9;12.8;18.4;1
73;75 years or over;Denmark;Females;Tertiary education (levels 5-8);26.9;25.4;29.4;7.0;11.4;1
74;75 years or over;Denmark;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);13.9;21.9;37.6;15.5;11.1;1
78;75 years or over;Denmark;Males;Less than primary, primary and lower secondary education (levels 0-2);28.0;17.7;31.9;10.8;11.6;1
79;75 years or over;Denmark;Males;Tertiary education (levels 5-8);48.9;7.5;33.5;3.8;6.4;1
80;75 years or over;Denmark;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);33.8;11.8;44.2;4.3;5.9;1
100;75 years or over;Finland;Males;Tertiary education (levels 5-8);8.9;20.2;39.0;9.8;22.1;1
101;75 years or over;Finland;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);5.7;21.7;38.3;10.4;23.9;1
109;75 years or over;Germany;Females;Tertiary education (levels 5-8);14.5;19.9;34.1;11.8;19.7;1
114;75 years or over;Germany;Males;Less than primary, primary and lower secondary education (levels 0-2);23.4;16.9;35.3;9.7;14.7;1
115;75 years or over;Germany;Males;Tertiary education (levels 5-8);28.3;18.2;41.7;5.3;6.5;1
116;75 years or over;Germany;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);22.9;19.1;38.1;7.1;12.8;1
127;75 years or over;Greece;Males;Tertiary education (levels 5-8);22.9;11.1;35.5;12.2;18.3;1
139;75 years or over;Hungary;Males;Tertiary education (levels 5-8);26.5;17.0;19.3;21.8;15.4;1
157;75 years or over;Ireland;Females;Tertiary education (levels 5-8);3.5;21.3;33.5;9.8;31.9;1
163;75 years or over;Ireland;Males;Tertiary education (levels 5-8);9.2;10.8;46.0;6.6;27.3;1
194;75 years or over;Luxembourg;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.0;20.8;40.4;9.7;29.1;1
198;75 years or over;Luxembourg;Males;Less than primary, primary and lower secondary education (levels 0-2);27.0;18.2;25.4;4.9;24.4;1
199;75 years or over;Luxembourg;Males;Tertiary education (levels 5-8);43.3;3.6;42.3;0.0;10.8;1
200;75 years or over;Luxembourg;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);41.6;8.3;35.4;2.3;12.3;1
229;75 years or over;Norway;Males;Tertiary education (levels 5-8);12.4;28.5;37.2;0.0;21.9;1
252;75 years or over;Portugal;Males;Less than primary, primary and lower secondary education (levels 0-2);56.8;3.4;8.9;5.0;26.0;1
253;75 years or over;Portugal;Males;Tertiary education (levels 5-8);64.8;3.5;13.6;4.9;13.3;1
254;75 years or over;Portugal;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);40.3;16.9;23.2;7.5;12.1;1
294;75 years or over;Slovenia;Males;Less than primary, primary and lower secondary education (levels 0-2);25.4;8.8;32.7;11.3;21.9;1
296;75 years or over;Slovenia;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);23.8;16.4;33.2;11.3;15.2;1
