;age;geo;sex;isced11;Every day;Every month;Every week;Less than once a month;Never or not in the last 12 months;clusters
24;75 years or over;Bulgaria;Females;Less than primary, primary and lower secondary education (levels 0-2);3.0;12.6;4.7;14.0;65.7;2
25;75 years or over;Bulgaria;Females;Tertiary education (levels 5-8);2.3;10.6;0.0;13.4;73.8;2
26;75 years or over;Bulgaria;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.7;15.2;7.6;12.0;64.6;2
36;75 years or over;Croatia;Females;Less than primary, primary and lower secondary education (levels 0-2);6.3;6.1;6.9;6.9;73.9;2
37;75 years or over;Croatia;Females;Tertiary education (levels 5-8);14.4;8.1;12.3;2.0;63.2;2
38;75 years or over;Croatia;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);6.9;9.7;14.5;8.9;59.9;2
48;75 years or over;Cyprus;Females;Less than primary, primary and lower secondary education (levels 0-2);0.6;5.4;2.3;5.4;86.3;2
50;75 years or over;Cyprus;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);2.7;4.4;6.8;13.7;72.5;2
84;75 years or over;Estonia;Females;Less than primary, primary and lower secondary education (levels 0-2);0.6;2.0;1.0;26.6;69.8;2
120;75 years or over;Greece;Females;Less than primary, primary and lower secondary education (levels 0-2);3.0;8.6;5.4;10.5;72.5;2
122;75 years or over;Greece;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.0;16.3;7.8;11.1;64.8;2
132;75 years or over;Hungary;Females;Less than primary, primary and lower secondary education (levels 0-2);7.4;5.9;5.9;18.4;62.4;2
134;75 years or over;Hungary;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);6.5;6.0;5.1;24.0;58.4;2
144;75 years or over;Iceland;Females;Less than primary, primary and lower secondary education (levels 0-2);0.0;21.3;2.7;19.0;57.0;2
156;75 years or over;Ireland;Females;Less than primary, primary and lower secondary education (levels 0-2);2.1;11.7;12.4;9.6;64.2;2
168;75 years or over;Latvia;Females;Less than primary, primary and lower secondary education (levels 0-2);0.3;4.2;1.0;24.7;69.8;2
170;75 years or over;Latvia;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.0;5.6;1.3;29.0;64.2;2
180;75 years or over;Lithuania;Females;Less than primary, primary and lower secondary education (levels 0-2);0.0;3.5;0.0;25.2;71.3;2
181;75 years or over;Lithuania;Females;Tertiary education (levels 5-8);0.0;10.8;2.2;30.5;56.5;2
182;75 years or over;Lithuania;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.0;6.1;0.0;24.4;69.5;2
204;75 years or over;Malta;Females;Less than primary, primary and lower secondary education (levels 0-2);3.5;11.3;5.3;17.7;62.2;2
234;75 years or over;Poland;Females;Less than primary, primary and lower secondary education (levels 0-2);0.4;4.7;2.2;13.5;79.2;2
236;75 years or over;Poland;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.0;7.9;1.4;24.4;66.3;2
246;75 years or over;Portugal;Females;Less than primary, primary and lower secondary education (levels 0-2);18.5;5.0;6.2;8.5;61.8;2
247;75 years or over;Portugal;Females;Tertiary education (levels 5-8);20.9;5.3;8.0;13.7;52.1;2
258;75 years or over;Romania;Females;Less than primary, primary and lower secondary education (levels 0-2);1.1;10.7;3.3;8.2;76.7;2
259;75 years or over;Romania;Females;Tertiary education (levels 5-8);0.0;1.7;0.0;20.1;78.3;2
260;75 years or over;Romania;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.0;9.9;0.4;10.6;79.1;2
265;75 years or over;Romania;Males;Tertiary education (levels 5-8);7.3;24.3;4.1;9.8;54.4;2
276;75 years or over;Slovakia;Females;Less than primary, primary and lower secondary education (levels 0-2);1.2;7.6;0.0;10.8;80.3;2
278;75 years or over;Slovakia;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);1.1;10.2;3.5;23.8;61.3;2
300;75 years or over;Spain;Females;Less than primary, primary and lower secondary education (levels 0-2);11.4;6.8;3.6;9.9;68.3;2
324;75 years or over;Türkiye;Females;Less than primary, primary and lower secondary education (levels 0-2);0.0;0.0;0.0;1.6;98.4;2
330;75 years or over;Türkiye;Males;Less than primary, primary and lower secondary education (levels 0-2);0.7;0.8;0.0;2.4;96.1;2
331;75 years or over;Türkiye;Males;Tertiary education (levels 5-8);3.9;0.0;2.7;2.9;90.5;2
332;75 years or over;Türkiye;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.0;0.0;3.8;13.1;83.1;2
366;From 15 to 24 years;Bulgaria;Females;Less than primary, primary and lower secondary education (levels 0-2);0.0;9.3;2.0;16.6;72.1;2
372;From 15 to 24 years;Bulgaria;Males;Less than primary, primary and lower secondary education (levels 0-2);1.7;13.6;17.1;8.8;58.8;2
378;From 15 to 24 years;Croatia;Females;Less than primary, primary and lower secondary education (levels 0-2);0.0;13.7;3.4;18.0;65.0;2
384;From 15 to 24 years;Croatia;Males;Less than primary, primary and lower secondary education (levels 0-2);0.0;22.9;6.6;12.6;57.9;2
