;age;geo;sex;isced11;Every day;Every month;Every week;Less than once a month;Never or not in the last 12 months;clusters
13;75 years or over;Belgium;Females;Tertiary education (levels 5-8);12.0;29.8;27.9;9.2;21.1;3
110;75 years or over;Germany;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);8.3;26.5;25.2;13.8;26.2;3
342;From 15 to 24 years;Austria;Females;Less than primary, primary and lower secondary education (levels 0-2);0.0;41.4;17.6;14.9;26.1;3
343;From 15 to 24 years;Austria;Females;Tertiary education (levels 5-8);0.0;52.9;22.1;15.7;9.3;3
344;From 15 to 24 years;Austria;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.0;43.0;23.1;18.8;15.1;3
348;From 15 to 24 years;Austria;Males;Less than primary, primary and lower secondary education (levels 0-2);1.1;38.9;26.3;9.3;24.4;3
350;From 15 to 24 years;Austria;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.7;41.8;41.0;7.5;9.0;3
354;From 15 to 24 years;Belgium;Females;Less than primary, primary and lower secondary education (levels 0-2);0.0;40.0;21.5;11.1;27.4;3
374;From 15 to 24 years;Bulgaria;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);6.0;37.6;17.4;10.8;28.3;3
385;From 15 to 24 years;Croatia;Males;Tertiary education (levels 5-8);0.0;44.9;11.1;14.0;30.0;3
386;From 15 to 24 years;Croatia;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);4.1;41.5;14.1;14.9;25.4;3
397;From 15 to 24 years;Cyprus;Males;Tertiary education (levels 5-8);0.0;43.9;38.4;2.8;15.0;3
398;From 15 to 24 years;Cyprus;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);1.1;34.4;23.9;14.4;26.2;3
403;From 15 to 24 years;Czechia;Females;Tertiary education (levels 5-8);0.0;47.0;43.2;9.8;0.0;3
404;From 15 to 24 years;Czechia;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.0;49.9;23.4;18.2;8.5;3
414;From 15 to 24 years;Denmark;Females;Less than primary, primary and lower secondary education (levels 0-2);0.0;42.5;18.7;21.6;17.2;3
415;From 15 to 24 years;Denmark;Females;Tertiary education (levels 5-8);0.0;41.3;30.4;23.9;4.3;3
416;From 15 to 24 years;Denmark;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.0;52.2;24.8;21.0;1.9;3
420;From 15 to 24 years;Denmark;Males;Less than primary, primary and lower secondary education (levels 0-2);1.8;33.9;23.2;17.0;24.1;3
422;From 15 to 24 years;Denmark;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);1.8;44.0;37.6;7.3;9.2;3
426;From 15 to 24 years;Estonia;Females;Less than primary, primary and lower secondary education (levels 0-2);0.0;29.9;10.1;40.8;19.2;3
427;From 15 to 24 years;Estonia;Females;Tertiary education (levels 5-8);0.0;42.7;14.5;33.7;9.1;3
428;From 15 to 24 years;Estonia;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.0;27.0;16.4;36.6;20.0;3
432;From 15 to 24 years;Estonia;Males;Less than primary, primary and lower secondary education (levels 0-2);0.0;31.5;16.7;28.5;23.3;3
434;From 15 to 24 years;Estonia;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.5;31.4;38.1;23.1;6.8;3
439;From 15 to 24 years;Finland;Females;Tertiary education (levels 5-8);0.0;46.1;26.9;16.1;11.0;3
440;From 15 to 24 years;Finland;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.0;45.7;22.7;18.0;13.6;3
443;From 15 to 24 years;Finland;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.0;45.8;31.9;6.0;16.3;3
452;From 15 to 24 years;Germany;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.5;42.9;29.4;18.2;9.0;3
456;From 15 to 24 years;Germany;Males;Less than primary, primary and lower secondary education (levels 0-2);1.3;31.4;27.2;15.2;24.9;3
463;From 15 to 24 years;Greece;Females;Tertiary education (levels 5-8);0.0;26.7;38.1;18.2;17.0;3
464;From 15 to 24 years;Greece;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.2;42.7;33.9;9.2;13.9;3
470;From 15 to 24 years;Greece;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);1.8;40.8;42.5;7.6;7.4;3
475;From 15 to 24 years;Hungary;Females;Tertiary education (levels 5-8);0.0;36.1;12.6;31.5;19.8;3
482;From 15 to 24 years;Hungary;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.9;35.3;30.6;21.8;11.5;3
488;From 15 to 24 years;Iceland;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.0;58.9;8.8;24.4;8.0;3
494;From 15 to 24 years;Iceland;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.0;53.1;21.0;8.9;17.0;3
499;From 15 to 24 years;Ireland;Females;Tertiary education (levels 5-8);0.0;49.3;41.6;6.3;2.8;3
500;From 15 to 24 years;Ireland;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.0;35.0;39.9;8.2;16.9;3
511;From 15 to 24 years;Latvia;Females;Tertiary education (levels 5-8);3.4;36.9;14.9;34.9;9.8;3
512;From 15 to 24 years;Latvia;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.0;43.4;9.2;29.7;17.6;3
517;From 15 to 24 years;Latvia;Males;Tertiary education (levels 5-8);2.5;34.3;19.3;37.4;6.5;3
518;From 15 to 24 years;Latvia;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.0;46.1;15.4;28.1;10.5;3
523;From 15 to 24 years;Lithuania;Females;Tertiary education (levels 5-8);0.0;60.3;6.8;9.4;23.5;3
524;From 15 to 24 years;Lithuania;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.0;40.6;8.1;27.2;24.1;3
529;From 15 to 24 years;Lithuania;Males;Tertiary education (levels 5-8);0.0;62.5;14.7;4.3;18.4;3
530;From 15 to 24 years;Lithuania;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.0;48.3;16.4;21.9;13.4;3
535;From 15 to 24 years;Luxembourg;Females;Tertiary education (levels 5-8);0.0;38.4;35.6;17.7;8.3;3
536;From 15 to 24 years;Luxembourg;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.0;35.0;24.8;18.5;21.7;3
540;From 15 to 24 years;Luxembourg;Males;Less than primary, primary and lower secondary education (levels 0-2);1.3;34.8;27.4;16.1;20.5;3
542;From 15 to 24 years;Luxembourg;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);2.6;36.9;35.7;12.0;12.8;3
546;From 15 to 24 years;Malta;Females;Less than primary, primary and lower secondary education (levels 0-2);0.0;29.6;28.7;12.0;29.7;3
548;From 15 to 24 years;Malta;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.0;37.2;31.9;14.8;16.1;3
564;From 15 to 24 years;Norway;Females;Less than primary, primary and lower secondary education (levels 0-2);0.0;66.6;10.8;0.0;22.6;3
565;From 15 to 24 years;Norway;Females;Tertiary education (levels 5-8);0.0;76.5;20.1;0.0;3.4;3
566;From 15 to 24 years;Norway;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.7;73.8;11.6;0.0;13.9;3
570;From 15 to 24 years;Norway;Males;Less than primary, primary and lower secondary education (levels 0-2);0.0;60.4;15.8;0.0;23.8;3
571;From 15 to 24 years;Norway;Males;Tertiary education (levels 5-8);0.0;52.3;36.9;0.0;10.7;3
572;From 15 to 24 years;Norway;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.0;62.5;30.2;0.0;7.2;3
577;From 15 to 24 years;Poland;Females;Tertiary education (levels 5-8);0.0;35.5;16.0;32.5;16.0;3
583;From 15 to 24 years;Poland;Males;Tertiary education (levels 5-8);2.3;43.4;28.4;13.3;12.6;3
584;From 15 to 24 years;Poland;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.9;43.9;25.6;19.3;10.3;3
589;From 15 to 24 years;Portugal;Females;Tertiary education (levels 5-8);0.0;33.5;17.5;24.7;24.3;3
596;From 15 to 24 years;Portugal;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);1.4;34.7;33.7;15.5;14.7;3
619;From 15 to 24 years;Slovakia;Females;Tertiary education (levels 5-8);0.0;44.1;10.4;26.3;19.3;3
625;From 15 to 24 years;Slovakia;Males;Tertiary education (levels 5-8);0.0;51.5;25.4;14.8;8.3;3
626;From 15 to 24 years;Slovakia;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.0;40.5;23.4;18.5;17.5;3
631;From 15 to 24 years;Slovenia;Females;Tertiary education (levels 5-8);0.0;40.7;18.3;28.5;12.5;3
632;From 15 to 24 years;Slovenia;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.8;37.5;16.7;24.5;20.5;3
638;From 15 to 24 years;Slovenia;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);4.1;37.7;36.9;12.3;9.0;3
643;From 15 to 24 years;Spain;Females;Tertiary education (levels 5-8);0.0;39.5;22.6;18.9;19.0;3
644;From 15 to 24 years;Spain;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.0;38.1;18.3;16.9;26.7;3
650;From 15 to 24 years;Spain;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);1.7;33.9;38.1;10.3;16.1;3
654;From 15 to 24 years;Sweden;Females;Less than primary, primary and lower secondary education (levels 0-2);0.0;38.1;15.2;23.5;23.2;3
656;From 15 to 24 years;Sweden;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.6;40.0;23.9;20.9;14.6;3
660;From 15 to 24 years;Sweden;Males;Less than primary, primary and lower secondary education (levels 0-2);0.9;40.9;14.0;21.8;22.4;3
662;From 15 to 24 years;Sweden;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.9;40.8;33.3;16.7;8.3;3
680;From 15 to 24 years;United Kingdom;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.2;26.7;29.0;23.1;21.0;3
685;From 25 to 34 years;Austria;Females;Tertiary education (levels 5-8);0.6;39.1;27.1;16.4;16.8;3
686;From 25 to 34 years;Austria;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.5;36.5;13.6;24.0;25.3;3
690;From 25 to 34 years;Austria;Males;Less than primary, primary and lower secondary education (levels 0-2);1.3;39.8;23.6;9.4;25.9;3
692;From 25 to 34 years;Austria;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);6.0;35.2;36.0;12.8;10.0;3
697;From 25 to 34 years;Belgium;Females;Tertiary education (levels 5-8);2.2;36.5;33.0;17.1;11.1;3
698;From 25 to 34 years;Belgium;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);1.0;38.9;18.3;16.2;25.6;3
709;From 25 to 34 years;Bulgaria;Females;Tertiary education (levels 5-8);5.6;40.2;18.2;15.0;21.0;3
710;From 25 to 34 years;Bulgaria;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);3.4;41.9;12.4;17.0;25.2;3
714;From 25 to 34 years;Bulgaria;Males;Less than primary, primary and lower secondary education (levels 0-2);14.0;29.7;22.4;9.5;24.3;3
715;From 25 to 34 years;Bulgaria;Males;Tertiary education (levels 5-8);5.5;35.8;34.1;6.3;18.4;3
716;From 25 to 34 years;Bulgaria;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);12.7;36.5;27.7;9.4;13.8;3
727;From 25 to 34 years;Croatia;Males;Tertiary education (levels 5-8);1.1;39.8;25.7;12.6;20.7;3
728;From 25 to 34 years;Croatia;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);6.0;34.0;23.1;11.4;25.4;3
739;From 25 to 34 years;Cyprus;Males;Tertiary education (levels 5-8);0.6;37.1;34.0;7.1;21.1;3
740;From 25 to 34 years;Cyprus;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);3.5;35.8;28.7;7.7;24.3;3
