;age;geo;sex;deg_urb;Every day;Every month;Every week;Less than once a month;Never or not in the last 12 months;clusters
188;75 years or over;Lithuania;Males;Towns and suburbs;0.0;0.0;0.0;0.0;0.0;2
192;75 years or over;Luxembourg;Females;Cities;0.0;0.0;0.0;0.0;0.0;2
205;75 years or over;Malta;Females;Rural areas;0.0;0.0;0.0;0.0;0.0;2
211;75 years or over;Malta;Males;Rural areas;0.0;0.0;0.0;0.0;0.0;2
324;75 years or over;Türkiye;Females;Cities;0.0;0.0;0.0;0.0;0.0;2
325;75 years or over;Türkiye;Females;Rural areas;0.0;0.0;0.0;0.0;0.0;2
326;75 years or over;Türkiye;Females;Towns and suburbs;0.0;0.0;0.0;0.0;0.0;2
330;75 years or over;Türkiye;Males;Cities;0.0;0.0;0.0;0.0;0.0;2
331;75 years or over;Türkiye;Males;Rural areas;0.0;0.0;0.0;0.0;0.0;2
332;75 years or over;Türkiye;Males;Towns and suburbs;0.0;0.0;0.0;0.0;0.0;2
553;From 15 to 24 years;Malta;Males;Rural areas;0.0;0.0;0.0;0.0;0.0;2
666;From 15 to 24 years;Türkiye;Females;Cities;0.0;0.0;0.0;0.0;0.0;2
667;From 15 to 24 years;Türkiye;Females;Rural areas;0.0;0.0;0.0;0.0;0.0;2
668;From 15 to 24 years;Türkiye;Females;Towns and suburbs;0.0;0.0;0.0;0.0;0.0;2
672;From 15 to 24 years;Türkiye;Males;Cities;0.0;0.0;0.0;0.0;0.0;2
673;From 15 to 24 years;Türkiye;Males;Rural areas;0.0;0.0;0.0;0.0;0.0;2
674;From 15 to 24 years;Türkiye;Males;Towns and suburbs;0.0;0.0;0.0;0.0;0.0;2
1008;From 25 to 34 years;Türkiye;Females;Cities;0.0;0.0;0.0;0.0;0.0;2
1009;From 25 to 34 years;Türkiye;Females;Rural areas;0.0;0.0;0.0;0.0;0.0;2
1010;From 25 to 34 years;Türkiye;Females;Towns and suburbs;0.0;0.0;0.0;0.0;0.0;2
1014;From 25 to 34 years;Türkiye;Males;Cities;0.0;0.0;0.0;0.0;0.0;2
1015;From 25 to 34 years;Türkiye;Males;Rural areas;0.0;0.0;0.0;0.0;0.0;2
1016;From 25 to 34 years;Türkiye;Males;Towns and suburbs;0.0;0.0;0.0;0.0;0.0;2
1214;From 35 to 44 years;Lithuania;Males;Towns and suburbs;0.0;0.0;0.0;0.0;0.0;2
1350;From 35 to 44 years;Türkiye;Females;Cities;0.0;0.0;0.0;0.0;0.0;2
1351;From 35 to 44 years;Türkiye;Females;Rural areas;0.0;0.0;0.0;0.0;0.0;2
1352;From 35 to 44 years;Türkiye;Females;Towns and suburbs;0.0;0.0;0.0;0.0;0.0;2
1356;From 35 to 44 years;Türkiye;Males;Cities;0.0;0.0;0.0;0.0;0.0;2
1357;From 35 to 44 years;Türkiye;Males;Rural areas;0.0;0.0;0.0;0.0;0.0;2
1358;From 35 to 44 years;Türkiye;Males;Towns and suburbs;0.0;0.0;0.0;0.0;0.0;2
1692;From 45 to 54 years;Türkiye;Females;Cities;0.0;0.0;0.0;0.0;0.0;2
1693;From 45 to 54 years;Türkiye;Females;Rural areas;0.0;0.0;0.0;0.0;0.0;2
1694;From 45 to 54 years;Türkiye;Females;Towns and suburbs;0.0;0.0;0.0;0.0;0.0;2
1698;From 45 to 54 years;Türkiye;Males;Cities;0.0;0.0;0.0;0.0;0.0;2
1699;From 45 to 54 years;Türkiye;Males;Rural areas;0.0;0.0;0.0;0.0;0.0;2
1700;From 45 to 54 years;Türkiye;Males;Towns and suburbs;0.0;0.0;0.0;0.0;0.0;2
2034;From 55 to 64 years;Türkiye;Females;Cities;0.0;0.0;0.0;0.0;0.0;2
2035;From 55 to 64 years;Türkiye;Females;Rural areas;0.0;0.0;0.0;0.0;0.0;2
2036;From 55 to 64 years;Türkiye;Females;Towns and suburbs;0.0;0.0;0.0;0.0;0.0;2
2040;From 55 to 64 years;Türkiye;Males;Cities;0.0;0.0;0.0;0.0;0.0;2
2041;From 55 to 64 years;Türkiye;Males;Rural areas;0.0;0.0;0.0;0.0;0.0;2
2042;From 55 to 64 years;Türkiye;Males;Towns and suburbs;0.0;0.0;0.0;0.0;0.0;2
2376;From 65 to 74 years;Türkiye;Females;Cities;0.0;0.0;0.0;0.0;0.0;2
2377;From 65 to 74 years;Türkiye;Females;Rural areas;0.0;0.0;0.0;0.0;0.0;2
2378;From 65 to 74 years;Türkiye;Females;Towns and suburbs;0.0;0.0;0.0;0.0;0.0;2
2382;From 65 to 74 years;Türkiye;Males;Cities;0.0;0.0;0.0;0.0;0.0;2
2383;From 65 to 74 years;Türkiye;Males;Rural areas;0.0;0.0;0.0;0.0;0.0;2
2384;From 65 to 74 years;Türkiye;Males;Towns and suburbs;0.0;0.0;0.0;0.0;0.0;2
