;age;geo;sex;deg_urb;Every day;Every month;Every week;Less than once a month;Never or not in the last 12 months;clusters
6;75 years or over;Austria;Males;Cities;23.0;24.4;24.8;11.0;16.8;3
7;75 years or over;Austria;Males;Rural areas;24.2;25.3;34.9;3.4;12.1;3
8;75 years or over;Austria;Males;Towns and suburbs;25.4;21.1;35.8;10.7;7.0;3
12;75 years or over;Belgium;Females;Cities;14.7;21.0;25.4;7.9;30.9;3
18;75 years or over;Belgium;Males;Cities;26.8;10.4;37.1;3.9;21.7;3
20;75 years or over;Belgium;Males;Towns and suburbs;25.2;12.2;35.4;14.3;12.9;3
42;75 years or over;Croatia;Males;Cities;27.8;22.8;10.5;19.6;19.2;3
43;75 years or over;Croatia;Males;Rural areas;32.6;3.9;15.1;2.8;45.6;3
44;75 years or over;Croatia;Males;Towns and suburbs;28.6;6.9;16.5;7.4;40.5;3
66;75 years or over;Czechia;Males;Cities;18.0;16.8;35.4;12.2;17.6;3
67;75 years or over;Czechia;Males;Rural areas;27.7;10.9;29.1;10.9;21.4;3
68;75 years or over;Czechia;Males;Towns and suburbs;22.1;12.9;30.2;18.4;16.4;3
72;75 years or over;Denmark;Females;Cities;21.9;18.3;34.6;10.1;15.1;3
78;75 years or over;Denmark;Males;Cities;34.3;9.9;41.7;4.8;9.3;3
79;75 years or over;Denmark;Males;Rural areas;35.5;11.5;40.4;6.8;5.8;3
80;75 years or over;Denmark;Males;Towns and suburbs;36.7;15.3;30.6;5.1;12.2;3
114;75 years or over;Germany;Males;Cities;22.2;16.9;43.0;7.8;10.1;3
115;75 years or over;Germany;Males;Rural areas;23.5;20.1;40.6;6.1;9.7;3
116;75 years or over;Germany;Males;Towns and suburbs;28.2;18.5;34.7;6.8;11.9;3
126;75 years or over;Greece;Males;Cities;21.8;17.4;20.3;12.5;28.0;3
127;75 years or over;Greece;Males;Rural areas;22.6;18.1;17.7;6.7;34.9;3
138;75 years or over;Hungary;Males;Cities;22.2;15.8;15.8;24.1;22.1;3
139;75 years or over;Hungary;Males;Rural areas;44.6;7.0;6.5;8.1;33.9;3
140;75 years or over;Hungary;Males;Towns and suburbs;30.4;9.8;14.5;10.8;34.5;3
162;75 years or over;Ireland;Males;Cities;12.8;13.4;38.7;7.4;27.7;3
198;75 years or over;Luxembourg;Males;Cities;41.9;3.2;32.3;0.0;22.6;3
199;75 years or over;Luxembourg;Males;Rural areas;40.5;7.8;31.7;0.0;20.1;3
200;75 years or over;Luxembourg;Males;Towns and suburbs;28.4;17.5;35.8;7.4;10.9;3
212;75 years or over;Malta;Males;Towns and suburbs;25.5;16.6;15.0;7.5;35.4;3
252;75 years or over;Portugal;Males;Cities;61.5;2.9;14.0;4.8;16.8;3
253;75 years or over;Portugal;Males;Rural areas;53.0;5.1;5.9;5.1;31.0;3
254;75 years or over;Portugal;Males;Towns and suburbs;54.4;3.5;8.6;5.7;27.9;3
294;75 years or over;Slovenia;Males;Cities;24.6;4.9;29.5;18.5;22.5;3
295;75 years or over;Slovenia;Males;Rural areas;25.0;15.1;26.3;10.2;23.4;3
296;75 years or over;Slovenia;Males;Towns and suburbs;21.5;9.2;43.1;10.5;15.6;3
306;75 years or over;Spain;Males;Cities;38.6;9.5;10.8;7.3;33.8;3
307;75 years or over;Spain;Males;Rural areas;42.9;7.1;6.9;7.3;35.9;3
308;75 years or over;Spain;Males;Towns and suburbs;39.0;9.6;11.9;4.3;35.2;3
319;75 years or over;Sweden;Males;Rural areas;16.9;20.3;33.9;9.4;19.4;3
337;75 years or over;United Kingdom;Females;Rural areas;18.0;10.3;24.5;16.5;30.7;3
338;75 years or over;United Kingdom;Females;Towns and suburbs;12.5;10.0;27.3;21.5;28.7;3
339;75 years or over;United Kingdom;Males;Cities;20.3;11.2;36.7;13.3;18.5;3
340;75 years or over;United Kingdom;Males;Rural areas;23.6;9.0;37.1;13.3;17.0;3
341;75 years or over;United Kingdom;Males;Towns and suburbs;24.0;8.8;38.0;10.1;19.1;3
1069;From 35 to 44 years;Croatia;Males;Rural areas;13.1;22.7;24.4;8.9;30.9;3
1153;From 35 to 44 years;Greece;Males;Rural areas;22.0;26.6;31.6;4.8;15.0;3
1237;From 35 to 44 years;Malta;Males;Rural areas;25.0;25.0;25.0;3.6;21.4;3
1278;From 35 to 44 years;Portugal;Males;Cities;24.7;19.2;39.1;7.3;9.6;3
1279;From 35 to 44 years;Portugal;Males;Rural areas;40.1;12.6;26.8;7.4;13.0;3
1280;From 35 to 44 years;Portugal;Males;Towns and suburbs;37.6;12.3;34.9;4.4;10.8;3
1333;From 35 to 44 years;Spain;Males;Rural areas;16.1;20.2;34.3;11.8;17.6;3
1334;From 35 to 44 years;Spain;Males;Towns and suburbs;16.4;18.4;35.4;9.1;20.5;3
1388;From 45 to 54 years;Belgium;Males;Towns and suburbs;29.0;16.1;39.2;9.7;6.1;3
1399;From 45 to 54 years;Bulgaria;Males;Rural areas;25.1;20.4;34.8;5.3;14.5;3
1411;From 45 to 54 years;Croatia;Males;Rural areas;16.4;20.0;26.3;12.0;25.3;3
1412;From 45 to 54 years;Croatia;Males;Towns and suburbs;17.6;25.9;25.5;6.1;24.8;3
1424;From 45 to 54 years;Cyprus;Males;Towns and suburbs;15.3;28.5;25.7;5.6;24.9;3
1507;From 45 to 54 years;Hungary;Males;Rural areas;15.4;23.1;23.9;17.0;20.6;3
1579;From 45 to 54 years;Malta;Males;Rural areas;34.6;3.8;26.9;7.7;26.9;3
1616;From 45 to 54 years;Portugal;Females;Towns and suburbs;16.4;12.9;20.6;14.5;35.6;3
1620;From 45 to 54 years;Portugal;Males;Cities;46.7;5.9;27.3;5.7;14.4;3
1621;From 45 to 54 years;Portugal;Males;Rural areas;54.0;7.4;23.0;4.5;11.1;3
1622;From 45 to 54 years;Portugal;Males;Towns and suburbs;48.2;7.1;24.6;6.8;13.2;3
1663;From 45 to 54 years;Slovenia;Males;Rural areas;18.4;19.6;35.7;8.9;17.4;3
1674;From 45 to 54 years;Spain;Males;Cities;24.7;15.6;33.7;9.9;16.1;3
